('0029688e-1acb-4ad0-a0c0-766b2d8c6514','2023-05-02 13:30:49.575000',NULL,'2023-05-02 13:30:49.575000',0,0,'9947-298-0','company-24-user-2@gmail.com','2023-05-02 13:30:49.574000',1,'2023-05-02 13:30:49.574000',NULL,NULL,NULL,'150651ef-30e6-46c0-bb00-b32f9776f767','4290c9c9-58b0-4373-844a-41268cda226c','041b7a3c-dde0-11ed-bfa7-b00cd19d498e'),
('011c69ea-d9ae-4731-8229-17f1a4515108','2023-05-02 13:30:50.641000',NULL,'2023-05-02 13:30:50.641000',0,0,'8306-658-9','company-26-user-9@gmail.com','2023-05-02 13:30:50.640000',1,'2023-05-02 13:30:50.640000',NULL,NULL,NULL,'5431eebc-47cb-4b02-98f1-e02cc703cd57','5ef260b8-c1ff-47ae-accd-37017affd90f','041b298d-dde0-11ed-bfa7-b00cd19d498e'),
('0124fa12-c7bf-400c-a6b6-c42760669e13','2023-05-02 13:31:01.708000',NULL,'2023-05-02 13:31:01.708000',0,0,'8241-430-0','company-49-user-2@gmail.com','2023-05-02 13:31:01.707000',1,'2023-05-02 13:31:01.707000',NULL,NULL,NULL,'565fed9c-7be6-44e8-beba-b6a47865035d','149eaf83-a4de-44d8-84b9-279d2b23037d','041b3060-dde0-11ed-bfa7-b00cd19d498e'),
('01a4dd65-2afc-458e-96be-307ec5bf24a9','2023-05-02 13:30:42.173000',NULL,'2023-05-02 13:30:42.173000',0,0,'9122-663-4','company-1-user-3@gmail.com','2023-05-02 13:30:42.172000',1,'2023-05-02 13:30:42.172000',NULL,NULL,NULL,'5b7cf5e3-4613-473e-8f80-9a5c2deeb1f0','fa4d94ab-75e1-4324-9e6a-190acca61387','041b3ad2-dde0-11ed-bfa7-b00cd19d498e'),
('01d04f2e-0252-430a-b1ab-3403628a65ec','2023-05-02 13:31:00.781000',NULL,'2023-05-02 13:31:00.781000',0,0,'9967-489-7','company-47-user-5@gmail.com','2023-05-02 13:31:00.780000',1,'2023-05-02 13:31:00.780000',NULL,NULL,NULL,'567e3fa6-2624-47be-aaff-14f7821b2438','e2bb2cd5-78af-4837-bb12-5c6e8641529c','041b594f-dde0-11ed-bfa7-b00cd19d498e'),
('031984aa-c414-418e-8da0-4e278788832e','2023-05-02 13:30:44.058000',NULL,'2023-05-02 13:30:44.058000',0,0,'8244-659-3','company-8-user-1@gmail.com','2023-05-02 13:30:44.057000',1,'2023-05-02 13:30:44.057000',NULL,NULL,NULL,'0d9f04ca-bdb7-4142-b65a-2753cad909fa','c1e85e9e-73e2-4b33-8bd9-5c051138a922','041b3ea2-dde0-11ed-bfa7-b00cd19d498e'),
('034390ee-7328-401e-b12a-dfe43a6f397f','2023-05-02 13:30:50.563000',NULL,'2023-05-02 13:30:50.563000',0,0,'8770-929-9','company-26-user-7@gmail.com','2023-05-02 13:30:50.562000',1,'2023-05-02 13:30:50.562000',NULL,NULL,NULL,'5431eebc-47cb-4b02-98f1-e02cc703cd57','0e589140-a40a-4450-bcee-3fcd1bce6d42','041bb4c2-dde0-11ed-bfa7-b00cd19d498e'),
('040ab489-c450-4227-8d90-066cda722c54','2023-05-02 13:30:53.059000',NULL,'2023-05-02 13:30:53.059000',0,0,'8183-907-8','company-32-user-2@gmail.com','2023-05-02 13:30:53.058000',1,'2023-05-02 13:30:53.058000',NULL,NULL,NULL,'ec46dbe3-843c-4f60-865f-71a98625aea9','5be7b281-6529-41c0-86d2-c5862261468d','041b5dcf-dde0-11ed-bfa7-b00cd19d498e'),
('043a9910-9984-4848-8a1a-979cf0036607','2023-05-02 13:30:45.487000',NULL,'2023-05-02 13:30:45.487000',0,0,'8942-098-2','company-12-user-8@gmail.com','2023-05-02 13:30:45.485000',1,'2023-05-02 13:30:45.485000',NULL,NULL,NULL,'6b24990b-4ac9-4087-8b6c-d60363439d2f','2eb179bd-0c4f-4cc0-a65f-7e5f5b4163cf','041bb707-dde0-11ed-bfa7-b00cd19d498e'),
('04bd25a0-13ec-47ba-aa5f-0e99f629b3a2','2023-05-02 13:30:42.318000',NULL,'2023-05-02 13:30:42.318000',0,0,'8615-966-3','company-1-user-9@gmail.com','2023-05-02 13:30:42.317000',1,'2023-05-02 13:30:42.317000',NULL,NULL,NULL,'5b7cf5e3-4613-473e-8f80-9a5c2deeb1f0','1bf6ef25-ba18-49ab-ac05-b6dda1c5d11b','041b48b4-dde0-11ed-bfa7-b00cd19d498e'),
